Date,Cow_ID,Breed,Milk_Liters,Feed_Kg,Health_Status,Vet_Visit,Breeding_Status,Department,Shift
2026-05-01,C101,Gir,18,12,Healthy,No,Pregnant,Milking,Morning
2026-05-01,C102,HF,22,14,Healthy,No,Open,Milking,Evening
2026-05-01,C103,Jersey,16,11,Sick,Yes,Open,Veterinary,Morning
2026-05-01,C104,Gir,20,13,Healthy,No,Pregnant,Milking,Evening
2026-05-01,C105,HF,25,15,Healthy,No,Open,Milking,Morning
2026-05-02,C106,Jersey,15,10,Healthy,No,Bred,Breeding,Morning
2026-05-02,C107,Gir,19,12,Sick,Yes,Open,Veterinary,Evening
2026-05-02,C108,HF,24,15,Healthy,No,Pregnant,Milking,Morning
2026-05-02,C109,Jersey,17,11,Healthy,No,Open,Milking,Evening
2026-05-02,C110,Gir,21,13,Healthy,No,Bred,Milking,Morning
2026-05-03,C111,HF,26,16,Healthy,No,Pregnant,Milking,Morning
2026-05-03,C112,Jersey,14,10,Sick,Yes,Open,Veterinary,Evening
2026-05-03,C113,Gir,18,12,Healthy,No,Bred,Breeding,Morning
2026-05-03,C114,HF,23,14,Healthy,No,Pregnant,Milking,Evening
2026-05-03,C115,Jersey,16,11,Healthy,No,Open,Milking,Morning
2026-05-04,C116,Gir,20,13,Healthy,No,Bred,Milking,Evening
2026-05-04,C117,HF,27,16,Healthy,No,Pregnant,Milking,Morning
2026-05-04,C118,Jersey,15,10,Sick,Yes,Open,Veterinary,Evening
2026-05-04,C119,Gir,19,12,Healthy,No,Bred,Breeding,Morning
2026-05-04,C120,HF,24,15,Healthy,No,Open,Milking,Evening
2026-05-05,C121,Jersey,17,11,Healthy,No,Pregnant,Milking,Morning
2026-05-05,C122,Gir,18,12,Healthy,No,Bred,Milking,Evening
2026-05-05,C123,HF,25,15,Sick,Yes,Open,Veterinary,Morning
2026-05-05,C124,Jersey,16,11,Healthy,No,Pregnant,Milking,Evening
2026-05-05,C125,Gir,20,13,Healthy,No,Bred,Breeding,Morning
2026-05-06,C126,HF,26,16,Healthy,No,Open,Milking,Evening
2026-05-06,C127,Jersey,15,10,Sick,Yes,Pregnant,Veterinary,Morning
2026-05-06,C128,Gir,19,12,Healthy,No,Bred,Milking,Evening
2026-05-06,C129,HF,24,15,Healthy,No,Open,Milking,Morning
2026-05-06,C130,Jersey,17,11,Healthy,No,Pregnant,Breeding,Evening
2026-05-07,C131,Gir,18,12,Healthy,No,Bred,Milking,Morning
2026-05-07,C132,HF,27,16,Healthy,No,Open,Milking,Evening
2026-05-07,C133,Jersey,16,11,Sick,Yes,Pregnant,Veterinary,Morning
2026-05-07,C134,Gir,20,13,Healthy,No,Bred,Breeding,Evening
2026-05-07,C135,HF,25,15,Healthy,No,Open,Milking,Morning
2026-05-08,C136,Jersey,14,10,Sick,Yes,Pregnant,Veterinary,Evening
2026-05-08,C137,Gir,19,12,Healthy,No,Bred,Milking,Morning
2026-05-08,C138,HF,24,15,Healthy,No,Open,Milking,Evening
2026-05-08,C139,Jersey,17,11,Healthy,No,Pregnant,Breeding,Morning
2026-05-08,C140,Gir,21,13,Healthy,No,Bred,Milking,Evening
2026-05-09,C141,HF,26,16,Healthy,No,Open,Milking,Morning
2026-05-09,C142,Jersey,15,10,Sick,Yes,Pregnant,Veterinary,Evening
2026-05-09,C143,Gir,18,12,Healthy,No,Bred,Breeding,Morning
2026-05-09,C144,HF,23,14,Healthy,No,Open,Milking,Evening
2026-05-09,C145,Jersey,16,11,Healthy,No,Pregnant,Milking,Morning
2026-05-10,C146,Gir,20,13,Healthy,No,Bred,Milking,Evening
2026-05-10,C147,HF,27,16,Sick,Yes,Open,Veterinary,Morning
2026-05-10,C148,Jersey,15,10,Healthy,No,Pregnant,Breeding,Evening
2026-05-10,C149,Gir,19,12,Healthy,No,Bred,Milking,Morning
2026-05-10,C150,HF,24,15,Healthy,No,Open,Milking,Evening
